"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
2,"501",113,"1","0","0","0","2","0","2","2","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","20","2","0","0","0","2","2","142","32","0","0","6","0","0","0","1","1","0","0","4","0","3","9","2","0","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"901",47,"5","1","1","2","2","0","1","2","2","2","3",1,"1","1","1","2","2","1","2","1","3","3","3","1","24","2","5","2","5","1","1","706","999","8","1","1","2190","49","1970","1","2","0","1240","4","5","6","207","6","600","25","1","2","4","6","4000","5","1","0","1","0","0","0","1","2","4","No"
3,"613",100,"4","0","4","0","2","0","2","2","1","1","0",0,"0","1","2","2","2","1","2","1","2","2","2","1","21","1","0","0","0","2","1","148","999","7","0","6","0","0","1250","3","2","0","0","0","0","3","163","6","0","0","2","1","1","1","1000","1","0","0","1","0","1","0","1","2","5","Yes"
2,"403",34,"1","4","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","2","2","1","1","2","3","1","16","2","2","2","4","2","2","88","190","0","0","2","7870","0","0","1","1","0","5740","4","4","5","36","5","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"703",94,"1","1","0","0","2","0","1","2","2","2","1",0,"10","2","5","0","0","0","0","1","3","3","3","1","16","1","4","4","5","1","2","50","51","0","0","1","6290","52","0","6","1","0","6355","0","5","6","25","6","700","25","1","2","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
3,"602",65,"1","1","2","2","0","0","1","2","2","1","0",0,"0","1","5","0","0","0","0","1","3","3","3","1","13","2","1","1","4","0","4","999","999","0","0","2","5171","0","1900","6","1","0","4760","4","3","3","25","3","0","0","1","1","2","6","4007","10","1","0","1","0","0","1","0","0","1","No"
1,"503",51,"4","1","1","0","2","2","1","1","2","2","1",1,"1","1","4","2","2","1","2","1","3","3","3","1","24","1","5","3","5","1","1","148","999","6","1","1","3380","43","1250","5","2","0","300","0","5","6","163","6","600","25","1","2","2","1","1000","1","0","0","1","0","1","0","1","2","5","No"
2,"504",120,"5","0","0","0","2","0","1","2","1","1","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","1","0","0","0","2","1","50","999","4","0","6","0","0","0","1","2","0","0","0","0","4","119","6","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","5","No"
2,"507",21,"1","1","0","0","0","0","1","2","2","2","3",1,"1","2","5","0","0","0","0","1","3","3","3","3","16","1","1","1","1","1","4","999","999","0","1","1","4973","43","0","6","1","0","4720","0","3","3","25","4","500","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"507",63,"1","1","0","2","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","3","1","1","1","21","2","5","3","3","2","2","142","50","0","0","3","7380","0","0","1","1","0","52","4","5","6","34","6","0","0","1","2","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
